,description
5540,"A tremendous, powerful, authoritative Chardonnay, among the elites of California. Just massive in pineapple-infused crème brûlée, pear custard, buttered toast, roasted hazelnut, and cinnamon spice flavors, offset by refreshing acidity and grounded with a floor of firm minerals. Retains elegance and class despite the power. Drink now–2013. Just 299 cases were produced, but it's worth the search."
5541,"This is a blend of several vineyards from throughout the sprawling Sonoma Coast region. It shows crisp, upfront acidity that makes the wine tart, and lasts through the dry finish. Flavor-wise, it's all about pears, enriched with toasty oak."
5542,"Nice and oaky and rich, from a vineyard in the heart of the cool-climate southern part of Russian River Valley. Acidity stars, giving zesty balance to the ripe pineapple, green apple, Key lime pie and pear flavors. New oak, to the tune of 40%, adds an opulent touch."
5543,"Rich and appealing, a new bottling from the winery. All the parts have yet to knit together, but they're all good, and the wine should drink well by winter 2007. New oak frames tart green apple, pineapple, kumquat and cinnamon spice flavors that are heightened by bright, zesty acidity."
5544,"Good everyday Chardonnay, a little stretched for fruit, but offering up pleasant enough peach, pineapple and apple flavors, with custardy, vanilla and woodsmoke nuances. Shares the characteristics of the best RRV Chard, although it's not as concentrated."
5545,"The wine that made America fall in love with Chardonnay is still semi-sweet, with a treasure trove of tropical fruit and spice flavors, boosted with creamy oak barrel influence, that's pretty irresistible at this price. Now sourced exclusively from coastal counties, the wine shows a brisk, citrusy acidity."
5546,"A great success in 2008, this compelling Chardonnay offers concentrated, dense fruit flavors of lemon curd and sweet pineapple, along with streaks of vanilla cookie. Nuances reveal themselves through a lingering finish; fresh herb and hints of rock."
5547,"What's so nice about this Chardonnay is the way the dryness, acidity and minerality combine with tropical fruit to make for a splendid, Chablis-style California wine. It's a connoisseur's Chardonnay, requiring some understanding of structure. Don't drink it too cold; could even stand a brief decant at room temperature."
5548,"A modern style coastal Chardonnay, brimming with acidity and starring major league pineapple, tangerine, Asian pear, buttered toast and honey vanilla flavors. Very rich and flamboyant. Calls for a rich shellfish dish in a cream sauce."
5549,"There's too much oak on this wine for the fruit. The oak provides luscious toast and vanilla caramel, but the pineapples, pears and mangoes can't stand up to all that wood. As a result, the wine is unbalanced."
5550,"Superrich in pineapple pie-filling fruit flavors, this Chard is on the sweet, honeyed side. But crisp Carneros acidity gives it needed balance. Oak adds caramel and vanilla richness."
5551,"Big and concentrated, this is a huge mouthful of really tasty juicy. Peach, pineapple and soft tropical flavors combine in a ripe and luscious wine, which puts the fruit well ahead of the butter and toast."
5552,"Tasted just after bottling, the wine was a little bottle-shocked, but should be fine by Summer 2010. Rich and creamy, with complex tropical fruit, buttered toast, lemondrop candy and honeysuckle flavors. An amazing 111,000 cases were produced."
5553,"Super-rich, a fat, opulent Chard that tastes almost as sweet as a dessert, except it's dry. Shows massive flavors of Meyer lemon custard, minerals, pear tart, buttered toast, butterscotch, smoky pie crust and honey, with a sprinkle of cinnamon and nutmeg. Lush and gorgeous."
5554,"A spectacular Chardonnay grown in Failla's estate vineyard, high in the mountains above the Sonoma Coast, and open to the Pacific's cool winds. The pineapple custard, tangerine, lemon tart and mineral flavors are compellingly delicious, while crisp coastal acidity adds a refreshingly clean tang. This is a grand cru wine."
5555,"A big, bold, exuberantly rich wine, classic Williams Selyem Chard. The underlying wine is all pineapples, peaches, pears and exotic tropical fruits, while oak adds elaborate layers of buttered toast, caramel, nougat and vanilla. Acidity is high, which will help the wine age through 2013."
5556,"Nothing subtle about this big, ripe, oaky Chardonnay. It shows the tropical fruit richness of a fine Alexander Valley Chard, flamboyant in pineapple custard flavor, with a flinty minerality. The sweet overlay of smoky oak is perfectly in keeping with the wine's volume."
5557,"Exciting, fresh and full of spicy, toasted undertones, this wine immediately calls for a food pairing of a richer seafood (think oysters, crab) or poultry. The flavors are balanced and buoyed by crispness, but the wine still offers complexity and a lingering finish."
5558,"A racy, citric undertone and spicy toast beckon on this fun, fresh wine from New York. On the palate, there's an impressive roundness and a touch of butter on the tongue, but a very pretty wave of flowers, minerality and zip keep it light."
5559,"An awesome Chardonnay. Explodes in the mouth with massive pineapple, crème brûlée, apricot jam and new oak flavors that finish thoroughly dry. For all the richness, there's a near-perfect balance of acidity, and a mineral undertow that grounds the wine, providing vitality and life. Brilliant now and through 2013."
5560,"Here's a big, impressive Chardonnay. It's massive in new oak, offering waves of vanilla, buttered toast and caramelized flavors. Yet the underlying pineapple, pear and tropical fruit flavors are big enough to easily support that elaborate coating. Thoroughly delicious and compelling, a wine to drink now and through 2013."
5561,"Oaky and ripe, with powerful tropical pineapple, kumquat, mineral and floral aromas and flavors. New oak adds smoke, vanilla and char. The bottom line is of a flavorful, acidic and elegant Chard with a lingering, spicy finish."
5562,"A crisp, fresh, medium-bodied Chardonnay, this is toasty and nutty but not overly vanilla-scented. Grilled peach and buttered sweet corn notes pick up citrus overtones that finish long and mouthwatering."
5563,"Earthy and minerally, an austere Chard by today's standards, with a thyme and tobacco edge to the modest peach fruit. My bias is for either impossibly rich, oaky Chards or sleek, fruity, unoaked ones. This falls between those goal posts."
5564,"Simple and fruity, this everyday Chard has peach, pineapple and spice flavors. The taste of smoky oak shows up on the finish."
5565,"There's a decent wine here, crisp and ripe in pineapple flavor, but it's been buried under so much oak, it's practically invisible. The wine reeks of woodsap and charred barrels, dominated by a sweet vanilla taste."
5566,"Simple and too oaky, with peach, pineapple, vanilla cream and buttered toast flavors. The toast overwhelms everything."
5567,"This outstanding wine is crisp and delicious, absolutely loaded with stone fruits, fresh-cut pineapple, and juicy citrus."
5568,"The best Hogue Chardonnay in years, this 2007 reserve bottling showcases fully ripened apple, peach and melon fruit flavors in a luscious wrapping of new oak. Butterscotch and a whisp of vanilla carry through the seductive finish."
5569,"Another success from this vineyard, which supplies Chardonnay to some of the best producers in the state. Perfect structure, matching acid and mineral to citrus fruit, juice and rind. Fragrant, textural and deep."
5570,"This isn't one of those rich, gooey Chardonnays that dazzle some people. But it's a crisp, minerally wine that shows great elegance and Chablis-like sophistication. Dry and crisp, it shows complex flavors of tart green apples and pears, with subtle influences of smoky oak."
5571,"Ultrarich and oaky, with vanilla, buttered toast, caramel and smoky flavors accenting the underlying pineapple, guava, nectarine and pear fruits. This opulent wine will meld and become mellow in another 2–3 years."
5572,"For the first time the fruit was sourced from Conner Lee vineyard old vines. It's a glorious wine, a near-perfect mix of citrus and stone, kissed with honey and dust, lightly buttery. Fermented mostly with native yeast, this is one of the best Washington Chardonnays of a very good vintage."
5573,"Earthy, like some Napa Chards, with a sage and thyme edge to the pear and peach fruit. The wine also is a little soft. But there's an interesting minerality. Could develop bottle complexity over the next few years."
